scale_name,model_name,parameter_count,adapter_parameter_count,trainable_parameter_count,adapter_size_kb,training_time_s,inference_latency_ms,screening_latency_ms,encryption_time_ms,decryption_time_ms,verification_time_ms,memory_usage_mb,screening_approved,combined_risk_score
lightweight,SecureLoRA-Lightweight (68M),22703744,98304,98304,400.08,0.609,13.34,7.801,0.625,0.145,0.044,921.09,False,0.95
scaled,SecureLoRA-Scaled (350M),267017472,1572864,1572864,6176.25,11.097,221.218,76.572,4.854,4.933,0.076,5174.86,False,0.95
